RiscZeroGovernor,454,5767802
BaselineGovernor,454,26972810
RiscZeroGovernor,915,12519106
BaselineGovernor,915,54260509
RiscZeroGovernor,982,13686713
BaselineGovernor,982,58228542
RiscZeroGovernor,845,11356279
BaselineGovernor,845,50115384
RiscZeroGovernor,908,12400855
BaselineGovernor,908,53845969
RiscZeroGovernor,940,12948988
BaselineGovernor,940,55741054
RiscZeroGovernor,924,12673329
RiscZeroGovernor,329,4219681
BaselineGovernor,924,54793495
BaselineGovernor,329,19578194
RiscZeroGovernor,813,10844160
BaselineGovernor,813,48220666
RiscZeroGovernor,907,12383372
BaselineGovernor,907,53786749
RiscZeroGovernor,918,12569545
BaselineGovernor,918,54438170
RiscZeroGovernor,982,13686713
RiscZeroGovernor,878,11897227
BaselineGovernor,982,58228542
RiscZeroGovernor,749,9853179
BaselineGovernor,878,52069439
RiscZeroGovernor,777,10281426
BaselineGovernor,749,44431604
RiscZeroGovernor,999,13993183
BaselineGovernor,777,46089257
RiscZeroGovernor,558,7128892
RiscZeroGovernor,223,2964315
RiscZeroGovernor,100,1551196
BaselineGovernor,999,59235442
RiscZeroGovernor,726,9507777
BaselineGovernor,558,33126572
BaselineGovernor,223,13309042
BaselineGovernor,100,6036166
RiscZeroGovernor,954,13191506
RiscZeroGovernor,482,6127000
RiscZeroGovernor,100,1551196
BaselineGovernor,726,43070032
RiscZeroGovernor,842,11308339
RiscZeroGovernor,489,6217387
BaselineGovernor,954,56570192
RiscZeroGovernor,588,7536642
BaselineGovernor,482,28629463
BaselineGovernor,100,6036166
RiscZeroGovernor,943,13000425
RiscZeroGovernor,245,3221298
BaselineGovernor,842,49937747
BaselineGovernor,489,29043641
RiscZeroGovernor,965,13384109
BaselineGovernor,588,34901939
RiscZeroGovernor,409,5200485
RiscZeroGovernor,367,4681749
RiscZeroGovernor,395,5026723
RiscZeroGovernor,500,6360977
BaselineGovernor,943,55918724
BaselineGovernor,245,14610076
RiscZeroGovernor,580,7427337
RiscZeroGovernor,101,1562546
RiscZeroGovernor,736,9658287
RiscZeroGovernor,167,2316458
BaselineGovernor,965,57221676
BaselineGovernor,409,24310529
RiscZeroGovernor,713,9314192
RiscZeroGovernor,240,3162847
BaselineGovernor,367,21825957
BaselineGovernor,395,23482315
RiscZeroGovernor,918,12569545
BaselineGovernor,500,29694505
RiscZeroGovernor,295,3812302
RiscZeroGovernor,176,2419964
RiscZeroGovernor,100,1551196
BaselineGovernor,580,34428498
BaselineGovernor,101,6095289
RiscZeroGovernor,766,10112691
RiscZeroGovernor,113,1698981
BaselineGovernor,736,43662011
BaselineGovernor,167,9997587
RiscZeroGovernor,996,13939636
RiscZeroGovernor,123,1812939
BaselineGovernor,713,42300474
BaselineGovernor,240,14314380
RiscZeroGovernor,943,13000425
BaselineGovernor,918,54438170
RiscZeroGovernor,809,10780943
BaselineGovernor,295,17567185
BaselineGovernor,176,10529760
BaselineGovernor,100,6036166
RiscZeroGovernor,925,12688539
BaselineGovernor,766,45438025
BaselineGovernor,113,6804758
RiscZeroGovernor,986,13758294
RiscZeroGovernor,267,3480250
RiscZeroGovernor,102,1573937
RiscZeroGovernor,111,1676290
RiscZeroGovernor,102,1573937
BaselineGovernor,996,59057751
BaselineGovernor,123,7395997
RiscZeroGovernor,567,7250606
RiscZeroGovernor,191,2593034
RiscZeroGovernor,188,2558348
BaselineGovernor,943,55918724
RiscZeroGovernor,950,13121589
BaselineGovernor,809,47983835
RiscZeroGovernor,919,12587268
RiscZeroGovernor,167,2316458
RiscZeroGovernor,478,6075375
BaselineGovernor,925,54852718
RiscZeroGovernor,445,5653221
RiscZeroGovernor,103,1585331
BaselineGovernor,986,58465455
RiscZeroGovernor,932,12810758
BaselineGovernor,267,15911167
BaselineGovernor,102,6154411
BaselineGovernor,111,6686512
BaselineGovernor,102,6154411
RiscZeroGovernor,787,10437342
RiscZeroGovernor,469,5959409
BaselineGovernor,567,33659170
RiscZeroGovernor,203,2731909
RiscZeroGovernor,248,3256621
BaselineGovernor,191,11416736
RiscZeroGovernor,123,1812939
BaselineGovernor,188,11239339
RiscZeroGovernor,360,4596181
RiscZeroGovernor,773,10219752
BaselineGovernor,950,56333293
RiscZeroGovernor,818,10923958
RiscZeroGovernor,426,5413494
BaselineGovernor,919,54497390
RiscZeroGovernor,358,4571602
BaselineGovernor,167,9997587
RiscZeroGovernor,298,3847972
BaselineGovernor,478,28392792
BaselineGovernor,445,26440334
RiscZeroGovernor,911,12451139
BaselineGovernor,103,6213532
RiscZeroGovernor,856,11536641
RiscZeroGovernor,100,1551196
RiscZeroGovernor,205,2754982
BaselineGovernor,932,55267271
BaselineGovernor,787,46681300
RiscZeroGovernor,989,13811358
BaselineGovernor,469,27860291
BaselineGovernor,203,12126336
BaselineGovernor,248,14787493
RiscZeroGovernor,915,12519106
RiscZeroGovernor,100,1551196
BaselineGovernor,123,7395997
BaselineGovernor,360,21411882
RiscZeroGovernor,915,12519106
BaselineGovernor,773,45852444
RiscZeroGovernor,987,13776984
BaselineGovernor,818,48516706
BaselineGovernor,426,25316251
RiscZeroGovernor,726,9507777
BaselineGovernor,358,21293577
RiscZeroGovernor,565,7223024
BaselineGovernor,298,17744622
RiscZeroGovernor,486,6178729
RiscZeroGovernor,309,3979329
RiscZeroGovernor,436,5539748
RiscZeroGovernor,303,3907757
BaselineGovernor,911,54023627
RiscZeroGovernor,427,5426234
BaselineGovernor,856,50766719
BaselineGovernor,100,6036166
RiscZeroGovernor,921,12620089
BaselineGovernor,205,12244606
RiscZeroGovernor,365,4657010
RiscZeroGovernor,247,3244897
RiscZeroGovernor,401,5100893
RiscZeroGovernor,383,4878369
BaselineGovernor,989,58643143
RiscZeroGovernor,587,7522749
RiscZeroGovernor,334,4280163
BaselineGovernor,915,54260509
BaselineGovernor,100,6036166
RiscZeroGovernor,917,12551840
RiscZeroGovernor,185,2523645
BaselineGovernor,915,54260509
RiscZeroGovernor,990,13830088
RiscZeroGovernor,157,2201559
RiscZeroGovernor,231,3057630
BaselineGovernor,987,58524685
RiscZeroGovernor,866,11699260
BaselineGovernor,726,43070032
RiscZeroGovernor,916,12536698
BaselineGovernor,565,33540814
RiscZeroGovernor,192,2604563
